Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal http://www.portalfiscal.inf.br/nfe/wsdl/NFeStatusServico4 9 times.""",CRITICAL,20min,Key: AYTIxMWAiIoCD2TGCWXv Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/statusservico/consulta/NfeStatusServico4Stub.java - startLine: 79;startOffset: 58;endOffset: 117;endLine: 79,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal nfeDadosMsg 4 times.""",CRITICAL,10min,Key: AYTIxMWAiIoCD2TGCWXx Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/statusservico/consulta/NfeStatusServico4Stub.java - startLine: 105;startOffset: 343;endOffset: 356;endLine: 105,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1170:  ""Make this final field static too.""",MINOR,2min,Key: AYTIxMbViIoCD2TGCWan Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte/webservices/distribuicao/CTeDistribuicaoDFeSoapStub.java - startLine: 22;startOffset: 46;endOffset: 57;endLine: 22,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2589:  ""Remove this expression which always evaluates to true""",MAJOR,10min,Key: AYTIxMbViIoCD2TGCWak Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte/webservices/distribuicao/CTeDistribuicaoDFeSoapStub.java - startLine: 160;startOffset: 12;endOffset: 36;endLine: 160,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxL6qiIoCD2TGCWOw Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/consulta/CteConsultaStub.java - startLine: 167;startOffset: 54;endOffset: 69;endLine: 167,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxL5jiIoCD2TGCWNj Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/inutilizacao/CteInutilizacaoStub.java - startLine: 167;startOffset: 54;endOffset: 69;endLine: 167,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1170:  ""Make this final field static too.""",MINOR,2min,Key: AYTIxL4ViIoCD2TGCWLb Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcao/CteRecepcaoStub.java - startLine: 23;startOffset: 46;endOffset: 57;endLine: 23,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxL4ViIoCD2TGCWLV Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcao/CteRecepcaoStub.java - startLine: 170;startOffset: 54;endOffset: 69;endLine: 170,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2589:  ""Remove this expression which always evaluates to true""",MAJOR,10min,Key: AYTIxL4ViIoCD2TGCWLY Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcao/CteRecepcaoStub.java - startLine: 269;startOffset: 12;endOffset: 36;endLine: 269,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxL7GiIoCD2TGCWP2 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcaoOS/CteRecepcaoOSStub.java - startLine: 168;startOffset: 54;endOffset: 69;endLine: 168,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxL4FiIoCD2TGCWKS Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcaoevento/RecepcaoEventoStub.java - startLine: 167;startOffset: 54;endOffset: 69;endLine: 167,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxL3piIoCD2TGCWJN Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/retrecepcao/CteRetRecepcaoStub.java - startLine: 167;startOffset: 54;endOffset: 69;endLine: 167,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxL48iIoCD2TGCWMc Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/statusservico/CteStatusServicoStub.java - startLine: 167;startOffset: 54;endOffset: 69;endLine: 167,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLVXiIoCD2TGCWBp Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/consulta/MDFeConsultaStub.java - startLine: 173;startOffset: 54;endOffset: 69;endLine: 173,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLYMiIoCD2TGCWG1 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/consultanaoencerrado/MDFeConsNaoEncStub.java - startLine: 173;startOffset: 54;endOffset: 69;endLine: 173,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLVziIoCD2TGCWCq Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/recepcao/MDFeRecepcaoStub.java - startLine: 173;startOffset: 54;endOffset: 69;endLine: 173,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLXxiIoCD2TGCWFy Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/recepcaoevento/MDFeRecepcaoEventoStub.java - startLine: 173;startOffset: 54;endOffset: 69;endLine: 173,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLWuiIoCD2TGCWDv Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/retornorecepcao/MDFeRetRecepcaoStub.java - startLine: 173;startOffset: 54;endOffset: 69;endLine: 173,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLXWiIoCD2TGCWEy Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/statusservico/MDFeStatusServicoStub.java - startLine: 175;startOffset: 54;endOffset: 69;endLine: 175,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1170:  ""Make this final field static too.""",MINOR,2min,Key: AYTIxMYQiIoCD2TGCWY6 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe/webservices/distribuicao/NFeDistribuicaoDFeSoapStub.java - startLine: 19;startOffset: 46;endOffset: 57;endLine: 19,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2589:  ""Remove this expression which always evaluates to true""",MAJOR,10min,Key: AYTIxMYQiIoCD2TGCWY3 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe/webservices/distribuicao/NFeDistribuicaoDFeSoapStub.java - startLine: 140;startOffset: 12;endOffset: 36;endLine: 140,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLRZiIoCD2TGCWAD Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/downloadnf/NfeDownloadNFStub.java - startLine: 171;startOffset: 54;endOffset: 69;endLine: 171,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLQ9iIoCD2TGCV-- Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/nota/consulta/NfeConsulta2Stub.java - startLine: 144;startOffset: 54;endOffset: 69;endLine: 144,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLQuiIoCD2TGCV98 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/nota/consulta/NfeConsultaStub.java - startLine: 169;startOffset: 54;endOffset: 69;endLine: 169,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxLPNiIoCD2TGCV77 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/webservices/statusservico/consulta/NfeStatusServico2Stub.java - startLine: 133;startOffset: 54;endOffset: 69;endLine: 133,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxMTSiIoCD2TGCWR2 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/consultacadastro/CadConsultaCadastro4Stub.java - startLine: 188;startOffset: 54;endOffset: 69;endLine: 188,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.apache.axis2.client.Options'.""",MINOR,2min,Key: AYTIxMWAiIoCD2TGCWYN Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/statusservico/consulta/NfeStatusServico4Stub.java - startLine: 6;startOffset: 7;endOffset: 38;endLine: 6,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.apache.axis2.transport.http.HTTPConstants'.""",MINOR,2min,Key: AYTIxMWAiIoCD2TGCWYO Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/webservices/statusservico/consulta/NfeStatusServico4Stub.java - startLine: 8;startOffset: 7;endOffset: 52;endLine: 8,Maintenance (Code Smells)
To-Do,New,Normal,"java:S116:  ""Rename this field CPF to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxMDSiIoCD2TGCWQ6 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/nota/NFNotaResumo.java - startLine: 29;startOffset: 19;endOffset: 22;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,"java:S117:  ""Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AYTIxMDSiIoCD2TGCWQ3 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/nota/NFNotaResumo.java - startLine: 89;startOffset: 38;endOffset: 41;endLine: 89,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYTIxMZviIoCD2TGCWZ6 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFAssinaturaDigital.java - startLine: 80;startOffset: 127;endOffset: 136;endLine: 80,Maintenance (Code Smells)
To-Do,New,Normal,"java:S112:  ""Define and throw a dedicated exception instead of using a generic one.""",MAJOR,20min,Key: AYTIxMZviIoCD2TGCWZ7 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFAssinaturaDigital.java - startLine: 147;startOffset: 60;endOffset: 69;endLine: 147,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Responsavel tecnico 4 times.""",CRITICAL,10min,Key: AYTIxLv5iIoCD2TGCWIk Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/classes/nota/CTeNotaInfoResponsavelTecnico.java - startLine: 46;startOffset: 53;endOffset: 74;endLine: 46,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal Responsavel tecnico 4 times.""",CRITICAL,10min,Key: AYTIxMCziIoCD2TGCWQ1 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe400/classes/nota/NFNotaInfoResponsavelTecnico.java - startLine: 49;startOffset: 53;endOffset: 74;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYTIxMZXiIoCD2TGCWZu Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFUtils.java - startLine: 6;startOffset: 22;endOffset: 29;endLine: 6,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 23 to the 15 allowed.""",CRITICAL,13min,Key: AYTIxMZXiIoCD2TGCWZv Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFUtils.java - startLine: 19;startOffset: 26;endOffset: 38;endLine: 19,Maintenance (Code Smells)
To-Do,New,Normal,"java:S6353:  ""Use concise character class syntax '\\d' instead of '[0-9]'.""",MINOR,5min,Key: AYTIxMZXiIoCD2TGCWZw Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFUtils.java - startLine: 20;startOffset: 44;endOffset: 49;endLine: 20,Maintenance (Code Smells)
To-Do,New,Normal,"java:S6353:  ""Use concise character class syntax '\\d' instead of '[0-9]'.""",MINOR,5min,Key: AYTIxMZXiIoCD2TGCWZy Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFUtils.java - startLine: 72;startOffset: 42;endOffset: 47;endLine: 72,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1659:  ""Declare d2 on a separate line.""",MINOR,2min,Key: AYTIxMZXiIoCD2TGCWZx Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/utils/DFUtils.java - startLine: 81;startOffset: 20;endOffset: 22;endLine: 81,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYTIxMbiiIoCD2TGCWbW Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFBigDecimalValidador.java - startLine: 13;startOffset: 22;endOffset: 43;endLine: 13,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1192:  ""Define a constant instead of duplicating this literal 0.0000 3 times.""",CRITICAL,8min,Key: AYTIxMbiiIoCD2TGCWbU Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFBigDecimalValidador.java - startLine: 32;startOffset: 50;endOffset: 58;endLine: 32,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5411:  ""Use the primitive boolean expression here.""",MINOR,5min,Key: AYTIxMbiiIoCD2TGCWbV Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFBigDecimalValidador.java - startLine: 76;startOffset: 104;endOffset: 123;endLine: 76,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1610:  ""Convert the abstract class DFBigIntegerValidador into an interface.""",MINOR,10min,Key: AYTIxMc2iIoCD2TGCWcW Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFBigIntegerValidador.java - startLine: 5;startOffset: 22;endOffset: 43;endLine: 5,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYTIxMc2iIoCD2TGCWcX Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFBigIntegerValidador.java - startLine: 5;startOffset: 22;endOffset: 43;endLine: 5,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYTIxMcEiIoCD2TGCWb9 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFIntegerValidador.java - startLine: 3;startOffset: 22;endOffset: 40;endLine: 3,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYTIxMcriIoCD2TGCWcV Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFListValidador.java - startLine: 5;startOffset: 22;endOffset: 37;endLine: 5,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYTIxMbviIoCD2TGCWbb Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFStringValidador.java - startLine: 17;startOffset: 22;endOffset: 39;endLine: 17,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1118:  ""Add a private constructor to hide the implicit public one.""",MAJOR,5min,Key: AYTIxMcQiIoCD2TGCWcU Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/validadores/DFXMLValidador.java - startLine: 14;startOffset: 19;endOffset: 33;endLine: 14,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK3qiIoCD2TGCVuQ Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFBigDecimalValidadorTest.java - startLine: 168;startOffset: 16;endOffset: 29;endLine: 168,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK3TiIoCD2TGCVuJ Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFBigIntegerValidadorTest.java - startLine: 15;startOffset: 16;endOffset: 51;endLine: 15,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK3TiIoCD2TGCVuK Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFBigIntegerValidadorTest.java - startLine: 26;startOffset: 16;endOffset: 51;endLine: 26,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK3HiIoCD2TGCVuE Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFIntegerValidadorTest.java - startLine: 7;startOffset: 16;endOffset: 60;endLine: 7,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK3HiIoCD2TGCVuF Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFIntegerValidadorTest.java - startLine: 12;startOffset: 16;endOffset: 60;endLine: 12,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK3HiIoCD2TGCVuG Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFIntegerValidadorTest.java - startLine: 17;startOffset: 16;endOffset: 51;endLine: 17,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK3HiIoCD2TGCVuH Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFIntegerValidadorTest.java - startLine: 33;startOffset: 16;endOffset: 34;endLine: 33,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK3HiIoCD2TGCVuI Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFIntegerValidadorTest.java - startLine: 45;startOffset: 16;endOffset: 44;endLine: 45,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5778:  ""Refactor the body of this try/catch to have only one invocation possibly throwing a runtime exception.""",MAJOR,5min,Key: AYTIxK3fiIoCD2TGCVuP Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFListValidadorTest.java - startLine: 87;startOffset: 8;endOffset: 11;endLine: 87,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuR Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 9;startOffset: 16;endOffset: 47;endLine: 9,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuS Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 22;startOffset: 16;endOffset: 43;endLine: 22,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuT Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 28;startOffset: 16;endOffset: 69;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuU Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 34;startOffset: 16;endOffset: 35;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuV Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 46;startOffset: 16;endOffset: 32;endLine: 46,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuW Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 71;startOffset: 16;endOffset: 39;endLine: 71,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuX Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 93;startOffset: 16;endOffset: 42;endLine: 93,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuY Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 159;startOffset: 16;endOffset: 69;endLine: 159,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuZ Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 176;startOffset: 16;endOffset: 41;endLine: 176,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVua Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 197;startOffset: 16;endOffset: 31;endLine: 197,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVub Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 246;startOffset: 16;endOffset: 62;endLine: 246,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuc Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 288;startOffset: 16;endOffset: 47;endLine: 288,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVud Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 313;startOffset: 16;endOffset: 44;endLine: 313,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVue Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 348;startOffset: 16;endOffset: 28;endLine: 348,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuf Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 366;startOffset: 16;endOffset: 21;endLine: 366,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVug Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 372;startOffset: 16;endOffset: 20;endLine: 372,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuh Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 408;startOffset: 16;endOffset: 39;endLine: 408,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVui Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 436;startOffset: 16;endOffset: 30;endLine: 436,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuj Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 446;startOffset: 16;endOffset: 30;endLine: 446,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYTIxK33iIoCD2TGCVuk Path: com.github.wmixvideo:nfe3:src/test/java/com/fincatto/documentofiscal/validadores/DFStringValidadorTest.java - startLine: 456;startOffset: 16;endOffset: 43;endLine: 456,Maintenance (Code Smells)
